Código,Descripción corta,Descripción larga,Prioridad,Tipo,Complejidad,Entrega,Incidencia
R68,Página seguidos,Los usuarios con sesión iniciada podrán visualizar una página donde se listarán últimas publicaciones de los usuarios a los que sigue.,Importante,Funcional,Fácil,v1,
R69,Almacenar archivos en la nube,Los archivos como imágenes serán almacenados en un servicio de almacenamiento en la nube como AWS.,Importante,Técnico,Difícil,v2,
R70,Añadir usuario a amigo / Ser añadido como amigo,El usuario podrá añadir a otro usuario como amigo. Y podrá ser añadido como amigo recibiendo una solicitud de amistad que podrá aceptar o rechazar.,Importante,Funcional,Media,v2,
R71,Eliminar amigo,El usuario podrá eliminar a otro usuario de amigos.,Importante,Funcional,Fácil,v2,
R72,Crear comentario,El usuario podrá comentar publicaciones de otros usuarios o en otros comentarios de las publicaciones.,Importante,Funcional,Media,v2,
R73,Dar me gusta a una publicación,El usuario podrá dar me gusta a una publicación de otro usuario.,Importante,Funcional,Fácil,v2,
R74,Compartir una publicación,El usuario podrá compartir una publicación de otro usuario.,Importante,Funcional,Media,v2,
R75,Centro de notificaciones,"El usuario tendrá un apartado de notificaciones donde le llegarán notificaciones como:

- Solicitudes de amistad.
- Un usuario ha dado me gusta a su publicación.
- Un usuario ha compartido su publicación.",Importante,Funcional,Difícil,v2,
R76,Crear comunidad,"Un usuario podrá crear una comunidad, una comunidad consiste en un grupo de usuarios que aportan publicaciones (fotos). La comunidad se creará mediante un formulario, indicando:

- Comunidad pública o privada.
- Nombre de la comunidad.
- Descripción de la comunidad.",Importante,Funcional,Fácil,v2,
R77,Modificar comunidad,El usuario podrá modificar la información de una comunidad.,Importante,Funcional,Fácil,v2,
R78,Eliminar comunidad,El usuario que creó la comunidad podrá eliminar dicha comunidad.,Importante,Funcional,Fácil,v2,
R79,Unirse a una comunidad,"El usuario puede solicitar unirse a una comunidad, se unirá directamente a la comunidad en caso de que esta sea pública o esperará a que le acepten la solicitud en caso de que sea privada.",Importante,Funcional,Media,v2,
R80,Dejar una comunidad,El usuario podrá dejar una comunidad.,Importante,Funcional,Fácil,v2,
R81,Aportar publicaciones a una comunidad,Los usuarios que pertenezcan a una comunidad podrán aportar publicaciones a estas.,Importante,Funcional,Media,v2,
R82,Buscar publicaciones,"El usuario podrá buscar publicaciones mediante una barra de búsqueda, pudiendo filtrar por categoría.",Importante,Funcional,Fácil,v2,
R83,Eliminar publicaciones de una comunidad,Los usuarios podrán eliminar las publicaciones que han aportado a una comunidad.,Importante,Funcional,Media,v2,
R84,Crear tienda personal,"Cuando se cree un usuario con él se creará automáticamente una tienda personal, en la que podrá vender las publicaciones que el usuario seleccione.",Importante,Funcional,Difícil,v3,
R85,Añadir publicación a tienda personal,"El usuario podrá añadir a su tienda personal una de sus publicaciones mediante un formulario, indicando:

- Publicación que quiere añadir.
- Precio.",Importante,Funcional,Difícil,v3,
R86,Eliminar publicación de tienda personal,El usuario podrá seleccionar una o varias publicaciones de su tienda personal y eliminarlas de la tienda.,Importante,Funcional,Difícil,v3,
R87,Modificar publicación de tienda personal,El usuario podrá modificar el precio de una publicación de su tienda personal.,Importante,Funcional,Media,v3,
R88,Mostrar ubicación de una publicación,El usuario podrá visualizar en un mapa la ubicación donde se realizó la foto que pertenece a una publicación.,Importante,Funcional,Difícil,v3,
R89,Librería para mapas,Se implementará una librería como Leaflet.js para mostrar en un mapa interactivo la ubicación de las fotos de las publicaciones de los usuarios.,Importante,Técnico,Difícil,v3,
R90,Implementar plataforma de pago,El usuario podrá realizar las compras a través de una plataforma de pago.,Importante,Funcional,Difícil,v3,
R91,Librería para plataforma de pago,Se implementará una librería como Stripe para integrar la plataforma de pago en la web.,Importante,Técnico,Difícil,v3,
R92,Añadir publicación al carrito ,El usuario podrá añadir la publicación de la tienda personal de otro usuario a su carrito.,Importante,Funcional,Difícil,v3,
R93,Eliminar publicación del carrito,El usuario podrá eliminar una publicación de su carrito,Importante,Funcional,Difícil,v3,
R94,Buscar comunidades,El usuario podrá buscar comunidades mediante una barra de búsqueda.,Importante,Funcional,Fácil,v3,
R95,Implementar roles de comunidad,"Los usuarios que pertenezcan a una comunidad tendrán diferentes roles:

- Fundador: es el usuario que creó la comunidad y es el único que puede eliminarla.
- Administrador: rol otorgador por el fundador, estos usuarios pueden aceptar o rechazar solicitudes de otros usuarios para unirse a la comunidad y eliminar publicaciones que otros usuarios han aportado a la comunidad.
- Usuario normal: el resto de usuarios, solo podrán aportar publicaciones y eliminar las publicaciones que han aportado ellos. ",Opcional,Funcional,Difícil,v3,
R96,Página de estadísticas de usuario,"Página en la que se mostrarán el número de me gustas, compartidos, seguidores… de un usuario con diferentes gráficas.",Opcional,Funcional,Difícil,v3,
R97,Librería para gráficas,Se implementará una librería como Chart.js para la creación de gráficas para la página de estadísticas de usuario.,Opcional,Técnico,Difícil,v3,
R98,Editar comentario,El usuario podrá editar sus comentarios.,Opcional,Funcional,Media,v3,
R99,Eliminar comentario,El usuario podrá eliminar sus comentarios.,Opcional,Funcional,Difícil,v3,
R100,Bloquear usuario,El usuario podrá bloquear a otros usuarios.,Opcional,Funcional,Media,v3,
R101,Chat con amigos,El usuario podrá enviar mensajes en tiempo real a otros usuarios amigos.,Opcional,Funcional,Difícil,v3,
R102,Laravel Echo + Pusher para el chat con amigos,Se implementará Laravel Echo + Pusher para integrar el chat con amigos en la web.,Opcional,Técnico,Difícil,v3,
